Реестр инновационных проектов,,,,,,,
Номер,Название проекта,Описание проекта,Информация о заявителе инновационного предложения,,,Функциональный заказчик,Текущий статус
п/п,,,Компания,Представитель компании (заявитель предложения),,,
,,,,Ф.И.О.,телефон,,
1,2,3,4,5,6,7,8
1,Система аналитики дислокации работников,Система позволяющая оповещать работников о приближении подвижного состава и информирования руководителя работ об удалении работников на безопасное расстояние от пути проследования подвижного состава;,ООО N146291,Новиков Л.Ф.,8(790)-197-50-64,П ДМВ Т НБТ  ,17.Внедрение
2,Антиобледенительные системы Форс,"В отличие от  большинства гидрофобных покрытий (включающих в себя соединения на основе силикона), гидрофобные антиобледенительные композиции производятся на основе фторполимеров, что обеспечивает, помимо высокой гидрофобности, механическую прочность, долговечность покрытий, а также защиту поверхности от коррозии и образования льда.",ООО N966118,Егоров Х.Д.,8(979)-553-80-67,ДЭЗ ДПО    ,17.Внедрение
3,«Осуществление опробования тормозов на основе технических средств без участия человека» СИПТМ-395 ,Разработка технологии применения сокращенного опробования тормозов в грузовых поездах при смене локомотива,ООО N179491,Морозов Г.И.,8(405)-945-58-27,Т     ,17.Внедрение
4,Система промывки систем отопления зданий «БУЧА-К»,"Оборудование для промывки систем отопления «БУЧА-К» позволят эффективно произвести подготовку к отопительному сезону предотвратить аварийные отключения в отопительный период, снизить расходы на энергетические ресурсы.",ООО N947239,Новиков Л.К.,8(568)-594-55-28,ДЭЗ     ,17.Внедрение
5,"Обслуживание робототехнических комплексов различного назначения, сенсорных и проводных систем и программного обеспечения","АО ""НПО ""Андроидная техника"" специализируется на разработке, производстве, обслуживании робототехнических комплексов различного назначения, сенсорных и проводных систем и программного обеспечения",ООО N987114,Иванов Н.Э.,8(462)-829-83-28,Д     ,"16.Адаптация решения для ОАО ""РЖД"""
6,Окраска локомотива краской с добавлением нанодисперсного политетрафторэтилена,В рамках проекта в существующие лакокрасочные покрытия добавляется инновационная присадка позволяющая повысить износостойкость лакокрасочного покрытия локомотива и стойкость к загрязнению.,ООО N887159,Нечаев Т.В.,8(621)-389-92-76,Т     ,"16.Адаптация решения для ОАО ""РЖД"""
7,"Информационное моделирование  BIM для сложных отраслевых технологических объектов транспортной компании, для линейных протяженных объектов","Разработка концепции интеграции процессов проектирования, строительства и эксплуатации комплексных отраслевых технологических объектов с использованием информационного моделирования и ее апробация на примере инвестиционных проектов Куйбышевской железной дороги",ООО N890972,Никулин Г.С.,8(262)-800-27-84,СИВЦ НТП Т Д ДИ ,"16.Адаптация решения для ОАО ""РЖД"""
8," «Разработка комплексной системы, позволяющей исключить участие обслуживающего персонала в осмотре технического состояния инфраструктуры и искусственных сооружений с применением фотограмметрии и технологии машинного зрения»",Комплексная система позволяющая производить диагностику искусственного сооружения (мосты) и выявлять отклонение от норм при помощи летательного аппарата (квадрокоптера) с применением видеоаналитики и машинного зрения. ,ООО N349426,Кузнецов П.С.,8(762)-135-25-17,РЦДМ     ,"16.Адаптация решения для ОАО ""РЖД"""
